NAMESPACE                      NAME                                                              READY   STATUS             RESTARTS          AGE    IP                NODE          NOMINATED NODE   READINESS GATES
fsomonitor                     alertmanager-fsomonitor-kube-prometheus-alertmanager-0            0/2     Terminating        0                 3s     10.244.0.46       csco-k8s-01   <none>           <none>
fsomonitor                     dcgm-exporter-59qpf                                               1/1     Running            2 (80d ago)       193d   10.244.2.113      csco-k8s-03   <none>           <none>
fsomonitor                     dcgm-exporter-86n77                                               1/1     Running            7 (80d ago)       193d   10.244.1.10       csco-k8s-02   <none>           <none>
fsomonitor                     dcgm-exporter-cgd92                                               1/1     Running            371 (6d18h ago)   193d   10.244.3.225      csco-k8s-04   <none>           <none>
fsomonitor                     dcgm-exporter-hgjzx                                               1/1     Running            2 (80d ago)       193d   10.244.0.141      csco-k8s-01   <none>           <none>
fsomonitor                     fsomonitor-grafana-7657db5567-cvk2l                               3/3     Running            18 (80d ago)      401d   10.244.0.225      csco-k8s-01   <none>           <none>
fsomonitor                     fsomonitor-kube-prometheus-operator-76965f6c6d-ckmtb              1/1     Running            7 (80d ago)       401d   10.244.2.91       csco-k8s-03   <none>           <none>
fsomonitor                     fsomonitor-kube-state-metrics-546ff99966-wdjhz                    1/1     Running            239 (2d3h ago)    250d   10.244.3.219      csco-k8s-04   <none>           <none>
fsomonitor                     fsomonitor-prometheus-node-exporter-2hmvr                         1/1     Running            13 (80d ago)      419d   192.168.160.111   csco-k8s-01   <none>           <none>
fsomonitor                     fsomonitor-prometheus-node-exporter-b9ccw                         1/1     Running            73 (80d ago)      419d   192.168.160.112   csco-k8s-02   <none>           <none>
fsomonitor                     fsomonitor-prometheus-node-exporter-p26sq                         1/1     Running            7 (80d ago)       418d   192.168.160.113   csco-k8s-03   <none>           <none>
fsomonitor                     fsomonitor-prometheus-node-exporter-w4plv                         1/1     Running            390 (6d18h ago)   419d   192.168.160.114   csco-k8s-04   <none>           <none>
fsomonitor                     prometheus-fsomonitor-kube-prometheus-prometheus-0                2/2     Running            238 (6d18h ago)   271d   10.244.3.82       csco-k8s-04   <none>           <none>
kube-system                    cilium-5p7rs                                                      1/1     Running            1 (80d ago)       135d   192.168.160.112   csco-k8s-02   <none>           <none>
kube-system                    cilium-envoy-4twmm                                                1/1     Running            1 (80d ago)       135d   192.168.160.111   csco-k8s-01   <none>           <none>
kube-system                    cilium-envoy-l7xrv                                                1/1     Running            1 (80d ago)       135d   192.168.160.112   csco-k8s-02   <none>           <none>
kube-system                    cilium-envoy-zsjn4                                                1/1     Running            2 (53d ago)       135d   192.168.160.114   csco-k8s-04   <none>           <none>
kube-system                    cilium-envoy-zvb7s                                                1/1     Running            1 (80d ago)       135d   192.168.160.113   csco-k8s-03   <none>           <none>
kube-system                    cilium-fqz4v                                                      1/1     Running            1 (80d ago)       135d   192.168.160.111   csco-k8s-01   <none>           <none>
kube-system                    cilium-operator-6669bdc4f-78tt7                                   1/1     Running            320 (6d18h ago)   135d   192.168.160.114   csco-k8s-04   <none>           <none>
kube-system                    cilium-p8mwz                                                      1/1     Running            1 (80d ago)       135d   192.168.160.113   csco-k8s-03   <none>           <none>
kube-system                    cilium-tqqrb                                                      1/1     Running            5 (53d ago)       135d   192.168.160.114   csco-k8s-04   <none>           <none>
