monotonic_ns,port_rcv_data_words,port_xmit_data_words
7492536662651585,49259906615,76540144149
7492536712719411,49259906615,76540144149
7492536762703477,49259906615,76540144149
7492536812731732,49259906615,76540144149
7492536862728571,49259906615,76540144149
7492536912709881,49259906615,76540144149
7492536962702562,49259906615,76540144149
7492537012711944,49259906615,76540144149
7492537062705757,49259906615,76540144149
7492537112726489,49259906615,76540144149
7492537165198407,49259906615,76540144149
7492537212704517,49259906615,76540144149
7492537262704392,49259906615,76540144149
7492537312706499,49259906615,76540144149
7492537362694843,49259915050,76544136279
7492537412698413,49259959892,76565693781
7492537462700451,49260031850,76599493846
7492537512696298,49260081306,76623047413
7492537562721779,49260119220,76640878927
7492537612728164,49260154849,76657645873
7492537662709194,49260195662,76676941137
7492537712706303,49260233908,76695038824
7492537762716105,49260256683,76705950631
7492537812710690,49260295868,76724314429
7492537865047835,49260329624,76740815217
7492537912707252,49260351977,76751061700
7492537967481890,49260366797,76757981407
7492538014265754,49260373427,76760928693
7492538064218714,49260403570,76775546748
7492538121653987,49260410817,76778607381
7492538162697205,49260431182,76788321564
7492538212708310,49260467207,76805354668
7492538262714085,49260529046,76834763343
7492538312700424,49260564681,76851264209
7492538362712230,49260609501,76872688578
7492538412711162,49260664850,76898903581
7492538462704695,49260699080,76915005156
7492538512712563,49260722509,76926449278
7492538562722045,49260752518,76940155637
7492538612705499,49260799425,76962777676
7492538662711464,49260822355,76973689483
7492538712699417,49260826005,76975020177
7492538762787029,49260826281,76975153248
7492538812716546,49260826833,76975419390
7492538862694290,49260827124,76975552461
7492538912702259,49260840146,76981673789
7492538963848323,49260841631,76982339098
7492539012703820,49260844087,76983536721
7492539065391939,49260867684,76994980827
7492539113893317,49260871417,76996710766
7492539162721535,49260892964,77006824146
7492539212703146,49260921795,77020397404
7492539262725741,49260954223,77035567544
7492539312735984,49260976439,77046346233
7492539362746257,49260999536,77057124984
7492539412689388,49261012059,77062980170
7492539462695514,49261037506,77075222640
7492539512690208,49261053136,77082807687
7492539562702565,49261072015,77091457302
7492539612707558,49261108239,77108623477
7492539662704587,49261137700,77122462861
7492539712723265,49261170696,77138298325
7492539762687054,49261232538,77167707001
7492539812700463,49261271354,77186469996
7492539862706798,49261320919,77209358270
7492539913073274,49261329050,77213217267
7492539962696017,49261347145,77221866882
7492540012716419,49261355890,77225859012
7492540075599361,49261360930,77228121266
7492540112710126,49261361565,77228520432
7492540164816144,49261375430,77235041016
7492540306050425,49261386207,77240230785
7492540306891694,49261386991,77240709963
7492540356992120,49261409515,77251009551
7492540406983228,49261413555,77253138641
7492540457048370,49261444504,77267776451
7492540507032987,49261476067,77282680387
7492540556955871,49261510561,77298915065
7492540607449177,49261525207,77305834757
7492540656981386,49261543591,77314351332
7492540706987642,49261575690,77329521426
7492540762538371,49261588693,77335775763
7492540811114995,49261595181,77338836396
7492540856986062,49261611768,77346687538
7492540910637681,49261619397,77351345054
7492540958826645,49261628865,77355071011
7492541014145846,49261633985,77357466305
7492541056982863,49261668376,77373434809
7492541146143715,49261675208,77377027773
7492541156989714,49261687141,77382084486
7492541206994076,49261720012,77398052960
7492541259683989,49261731189,77402976618
7492541306997942,49261752375,77413089967
7492541356985844,49261768464,77420675014
7492541407035157,49261799673,77436244321
7492541458122395,49261831596,77450882147
7492541565845052,49261851732,77459931021
7492541568300687,49261851732,77459931021
7492541620057504,49261881946,77475367257
7492541675044726,49261901805,77484149928
7492541722900427,49261904106,77484682227
7492541768423896,49261927842,77495993200
7492541819165209,49261952654,77507969606
7492541868403218,49261977977,77519679838
7492541918367217,49261988192,77524470394
7492541968405350,49262029691,77544431044
7492542018401988,49262051746,77554544440
7492542068403675,49262068049,77562395629
7492542118406315,49262075395,77566254688
7492542168415495,49262125255,77589276002
7492542218406323,49262172596,77612164183
7492542268407960,49262219711,77634120914
7492542318421369,49262268541,77657142212
7492542369050580,49262335364,77688680070
7492542418399278,49262382947,77711169054
7492542468406014,49262397767,77718221770
7492542518440661,49262418514,77727936000
7492542568406674,49262452750,77744170615
7492542618394827,49262489352,77761469876
7492542668434382,49262507729,77770252531
7492542718410914,49262522336,77777039214
7492542768412021,49262562678,77796486266
7492542818417425,49262609973,77819089604
7492542868422107,49262649862,77837719544
7492542918401044,49262680966,77852357338
7492542968438075,49262703704,77863402231
7492543018401773,49262716254,77869523513
7492543068413048,49262750902,77885358946
7492543118404757,49262788584,77903190460
7492543168683986,49262821173,77919558193
7492543218397863,49262844211,77929405447
7492543268424776,49262868028,77940849553
7492543318400487,49262888588,77950297656
7492543368402455,49262933650,77972121269
7492543418453050,49262986958,77997320502
7492543468653306,49263028960,78017012949
7492543518416663,49263068260,78035463096
7492543569056824,49263113610,78057153638
7492543618571121,49263146429,78072856001
7492543668402180,49263194965,78095611142
7492543718371909,49263237338,78115816026
7492543768408410,49263284528,78137927735
7492543818421688,49263304973,78147641887
7492543869363042,49263304973,78147641887
7492543918421686,49263304973,78147641887
7492543975742613,49263304973,78147641887
7492544018421134,49263304973,78147641887
7492544068403857,49263304973,78147641887
7492544118428556,49263304973,78147641887
7492544168400339,49263304973,78147641887
7492544218541649,49263304973,78147641887
7492544268424712,49263304973,78147641887
7492544318792450,49263304973,78147641887
7492544368700087,49263304973,78147641887
7492544430368696,49263304973,78147641887
7492544468398722,49263304973,78147641887
7492544518413393,49263304973,78147641887
7492544579934956,49263304973,78147641887
7492544649374620,49263304973,78147641887
7492544668402286,49263304973,78147641887
7492544718398322,49263304973,78147641887
7492544768411090,49263304973,78147641887
7492544818416534,49263304973,78147641887
7492544868412331,49263304973,78147641887
7492544918397608,49263304973,78147641887
7492544968708795,49263304973,78147641887
7492545019563232,49263304973,78147641887
7492545070931798,49263305035,78147641945
7492545118401012,49263305035,78147641945
7492545168401877,49263305035,78147641945
7492545219818258,49263305035,78147641945
7492545268417503,49263305035,78147641945
7492545318540479,49263305035,78147641945
7492545369400597,49263305035,78147641945
7492545418407588,49263305035,78147641945
7492545468428300,49263305035,78147641945
7492545518411965,49263305035,78147641945
7492545568395570,49263305035,78147641945
7492545618392539,49263305035,78147641945
7492545668399225,49263305035,78147641945
7492545718396465,49263305035,78147641945
7492545768406227,49263305035,78147641945
7492545818424935,49263305035,78147641945
7492545873165601,49263305035,78147641945
7492545918429381,49263305035,78147641945
7492545974346703,49263305035,78147641945
7492546026305755,49263305035,78147641945
7492546091586869,49263305035,78147641945
7492546118404654,49263305035,78147641945
7492546168452084,49263305035,78147641945
7492546218410593,49263305097,78147642003
7492546269702731,49263305097,78147642003
7492546318402046,49263305097,78147642003
7492546369046294,49263305097,78147642003
7492546418933585,49263305097,78147642003
7492546468407920,49263305097,78147642003
7492546518383119,49263305097,78147642003
7492546568372635,49263305097,78147642003
7492546618425935,49263305097,78147642003
7492546668659662,49263305097,78147642003
7492546719047045,49263305097,78147642003
7492546768511613,49263305097,78147642003
7492546818393654,49263305097,78147642003
7492546868380575,49263305097,78147642003
7492546918394043,49263305097,78147642003
7492546981408572,49263305097,78147642003
7492547018400593,49263305097,78147642003
7492547068398584,49263305097,78147642003
7492547118411161,49263305097,78147642003
7492547168405786,49263305097,78147642003
7492547218397255,49263305097,78147642003
7492547270045586,49263305097,78147642003
7492547318403414,49263305097,78147642003
7492547368403279,49263305097,78147642003
7492547418409324,49263305097,78147642003
7492547468412444,49263305097,78147642003
7492547518392863,49263305097,78147642003
7492547568404849,49263305097,78147642003
7492547618398562,49263305097,78147642003
7492547669063467,49263305097,78147642003
7492547718411483,49263305097,78147642003
7492547768395188,49263305097,78147642003
7492547818407545,49263305097,78147642003
7492547869028240,49263305097,78147642003
7492547919405205,49263305097,78147642003
7492547968400535,49263305097,78147642003
7492548018397744,49263305097,78147642003
7492548068403619,49263305097,78147642003
7492548118393275,49263305097,78147642003
7492548168428042,49263305097,78147642003
7492548218390658,49263305097,78147642003
7492548268419846,49263305097,78147642003
7492548318422024,49263305097,78147642003
