monotonic_ns,port_rcv_data_words,port_xmit_data_words
7492969920979525,109862075056,3537902557
7492969972099066,109862075056,3537902557
7492970021056318,109862075056,3537902557
7492970071064757,109862075056,3537902557
7492970121029595,109862075056,3537902557
7492970171031031,109862075056,3537902557
7492970221023912,109862075056,3537902557
7492970271022563,109862075056,3537902557
7492970321028367,109862075056,3537902557
7492970371015407,109862075056,3537902557
7492970421014659,109862075056,3537902557
7492970471011868,109862075056,3537902557
7492970521017051,109862075056,3537902557
7492970571014620,109862075326,3537902575
7492970621011959,109862075326,3537902649
7492970671010109,109862075326,3537902649
7492970721017767,109862075326,3537902649
7492970771011960,109862075326,3537902649
7492970821016011,109862075326,3537902649
7492970871038908,109862075326,3537902649
7492970921033392,109862075326,3537902649
7492970971026562,109862075326,3537902649
7492971021029992,109862075326,3537902649
7492971071019876,109862075326,3537902649
7492971121018908,109862075326,3537902649
7492971171017068,109862075326,3537902649
7492971221014416,109862075326,3537902649
7492971271014900,109862075326,3537902649
7492971321053075,109862075326,3537902649
7492971371028552,109862075326,3537902649
7492971422610483,109862075326,3537902649
7492971471027717,109862075326,3537902649
7492971521027530,109862075326,3537902649
7492971571082867,109862075326,3537902649
7492971621034369,109862075326,3537902649
7492971671025416,109862075326,3537902649
7492971721025599,109862075326,3537902649
7492971771030281,109862075326,3537902649
7492971821035314,109862075326,3537902649
7492971872031793,109862075326,3537902649
7492971920986539,109862075326,3537902649
7492971971043008,109862075326,3537902649
7492972021050495,109862075326,3537902649
7492972071036181,109862075326,3537902649
7492972121022107,109862075326,3537902649
7492972171036657,109862075326,3537902649
7492972221022574,109862075326,3537902649
7492972271035922,109862075326,3537902649
7492972321026617,109862075326,3537902649
7492972371021189,109862075326,3537902649
7492972421017605,109862075326,3537902649
7492972471016817,109862075326,3537902649
7492972521027179,109862075326,3537902649
7492972571019347,109862075326,3537902649
7492972621022616,109862075326,3537902649
7492972671025795,109862075326,3537902649
7492972722025900,109862075326,3537902649
7492972771039736,109862075326,3537902649
7492972821039819,109862075326,3537902649
7492972871244818,109862075326,3537902649
7492972921036699,109862075326,3537902649
7492972971046029,109862075326,3537902649
7492973021027657,109862075326,3537902649
7492973071023071,109862075326,3537902649
7492973121025167,109862075326,3537902649
7492973171053783,109862075326,3537902649
7492973221019972,109862075326,3537902649
7492973271022819,109862075326,3537902649
7492973321024334,109862075326,3537902649
7492973371013857,109862075326,3537902649
7492973421034688,109862075326,3537902649
7492973471021636,109862075326,3537902649
7492973521036486,109862075326,3537902649
7492973571040506,109862075326,3537902649
7492973621026312,109862075326,3537902649
7492973671024581,109862075326,3537902649
7492973721022599,109862075326,3537902649
7492973771022081,109862075326,3537902649
7492973821036861,109862075326,3537902649
7492973871032345,109862075326,3537902649
7492973921039590,109862075326,3537902649
7492973971038691,109862075326,3537902649
7492974021039274,109862075326,3537902649
7492974071034046,109862075326,3537902649
7492974121023808,109862075326,3537902649
7492974171026976,109862075326,3537902649
7492974221013783,109862075326,3537902649
7492974271035877,109862075326,3537902649
7492974321045787,109862075326,3537902649
7492974371024128,109862075326,3537902649
7492974421023168,109862075326,3537902649
7492974471017139,109862075326,3537902649
7492974521019725,109862075326,3537902649
7492974571013065,109862075326,3537902649
7492974621020550,109862075326,3537902649
7492974671042904,109862075326,3537902649
7492974721045140,109862075326,3537902649
7492974771026768,109862075326,3537902649
7492974821029044,109862075326,3537902649
7492974871043613,109862075326,3537902649
7492974922057733,109862075326,3537902649
7492974971028047,109862075326,3537902649
7492975021033399,109862075326,3537902649
7492975071047737,109862075326,3537902649
7492975121024414,109862075326,3537902649
7492975171026580,109862075326,3537902649
7492975221026491,109862075326,3537902649
7492975271028155,109862075326,3537902649
7492975321027876,109862075326,3537902649
7492975371028879,109862075326,3537902649
7492975421039631,109862075326,3537902649
7492975470976664,109862075326,3537902649
7492975521024926,109862075326,3537902649
7492975571040246,109862075326,3537902649
7492975621026972,109862075326,3537902649
7492975671051099,109862075326,3537902649
7492975721053675,109862075326,3537902649
7492975771054097,109862075326,3537902649
7492975821059379,109862075326,3537902649
7492975871035114,109862075326,3537902649
7492975921038061,109862075326,3537902649
7492975971037772,109862075326,3537902649
7492976022036523,109862075326,3537902649
7492976071050518,109862075326,3537902649
7492976121027726,109862075326,3537902649
7492976171064937,109862075326,3537902649
7492976221027387,109862075326,3537902649
7492976270993935,109862075326,3537902649
7492976321110294,109862075326,3537902649
7492976371029964,109862075326,3537902649
7492976421039242,109862075326,3537902649
7492976471014066,109862075326,3537902649
7492976521028895,109862075326,3537902649
7492976571016001,109862075326,3537902649
7492976621020450,109862075326,3537902649
7492976671014881,109862075326,3537902649
7492976720998461,109862075326,3537902649
7492976771024220,109862075326,3537902649
7492976821018801,109862075326,3537902649
7492976871023681,109862075326,3537902649
7492976921024072,109862075326,3537902649
7492976971059881,109862075326,3537902649
7492977021036868,109862075326,3537902649
7492977071023373,109862075326,3537902649
7492977121053941,109862075326,3537902649
7492977171240272,109862075326,3537902649
