monotonic_ns,port_rcv_data_words,port_xmit_data_words
7492452525712277,47646008006,73323172491
7492452575753606,47646008006,73323172491
7492452625789174,47646008006,73323172491
7492452675777167,47646008006,73323172491
7492452725740395,47646008006,73323172491
7492452778059688,47646008006,73323172491
7492452826552290,47646008006,73323172491
7492452875794966,47646008006,73323172491
7492452925770757,47646008006,73323172491
7492452975779577,47646008006,73323172491
7492453025775313,47646008006,73323172491
7492453075784735,47646008006,73323172491
7492453125765063,47646008006,73323172491
7492453175786236,47646008006,73323172491
7492453227092950,47646008006,73323172491
7492453275768092,47646008006,73323172491
7492453325774708,47646008006,73323172491
7492453375767850,47646008006,73323172491
7492453425778453,47646008006,73323172491
7492453477094154,47646008006,73323172491
7492453525768534,47646008006,73323172491
7492453575783976,47646008006,73323172491
7492453625787186,47646008006,73323172491
7492453675769889,47646008006,73323172491
7492453725780683,47646008006,73323172491
7492453775766963,47646008006,73323172491
7492453825774340,47646008006,73323172491
7492453875750461,47646008006,73323172491
7492453925767076,47646008006,73323172491
7492453975745391,47647072648,73323174231
7492454025759611,47650398329,73323177995
7492454075782717,47659843911,73323189440
7492454125769808,47667560084,73323198938
7492454181405491,47678735276,73323212672
7492454225776188,47688313981,73323224444
7492454275774018,47697710880,73323236309
7492454325961631,47710531427,73323251764
7492454375782913,47720775284,73323264378
7492454425793506,47731152248,73323277131
7492454475768185,47731152248,73323277131
7492454525744596,47731152248,73323277131
7492454575773834,47731152248,73323277131
7492454627047087,47731152248,73323277131
7492454675779603,47731152248,73323277131
7492454726121244,47731152248,73323277131
7492454775789669,47731152248,73323277131
7492454825762164,47731152248,73323277131
7492454875765694,47731152248,73323277131
7492454925807745,47731152248,73323277131
7492454976910811,47731152248,73323277131
7492455026042788,47733110567,73323279504
7492455076606460,47735675687,73323282856
7492455184364510,47736341046,73323283612
7492455186094344,47736341046,73323283628
7492455236331056,47747515922,73323297204
7492455286194023,47758425069,73323310707
7492455336189549,47763879627,73323317426
7492455387192415,47773192241,73323328871
7492455436937599,47784766631,73323343567
7492455486194621,47798602499,73323360099
7492455536150867,47806451756,73323369761
7492455586196984,47816296568,73323381829
7492455636195676,47816296568,73323381829
7492455686207922,47816296568,73323381829
7492455736199622,47816296568,73323381829
7492455786186172,47816296568,73323381829
7492455836157554,47816296568,73323381829
7492455886210294,47816296568,73323381829
7492455936184011,47816296568,73323381829
7492455995087144,47816296568,73323381829
7492456045209068,47816296568,73323381829
7492456095185070,47816296568,73323381829
7492456145187649,47816296568,73323381829
7492456195144525,47816296568,73323381829
7492456245214486,47817760140,73323383659
7492456296082799,47826806639,73323395073
7492456345189249,47836970594,73323407894
7492456395849175,47845720983,73323418577
7492456445197553,47856873381,73323431759
7492456495189012,47862594099,73323439067
7492456545383507,47871374323,73323449679
7492456595228541,47882073529,73323462814
7492456645183064,47894655957,73323478199
7492456695198135,47901440842,73323486469
7492456745193181,47901440842,73323486469
7492456826908285,47901440842,73323486469
7492456846930417,47901440842,73323486469
7492456895615445,47901440842,73323486469
7492456945199759,47901440842,73323486469
7492456995198131,47901440842,73323486469
7492457045196542,47901440842,73323486469
7492457095195855,47901440842,73323486469
7492457145208953,47901440842,73323486469
7492457195186256,47901440842,73323486469
7492457245195527,47901440842,73323486469
7492457295187367,47901440842,73323486469
7492457347195338,47901440842,73323486469
7492457395195631,47901440842,73323486469
7492457445198370,47901440842,73323486469
7492457497048786,47901440842,73323486469
7492457545152696,47901440842,73323486469
7492457595244376,47901440842,73323486469
7492457645192657,47901440842,73323486469
7492457695688707,47911019731,73323498457
7492457745196282,47924589523,73323515258
7492457795199071,47938957511,73323532573
7492457845184579,47948669385,73323544728
7492457895206854,47956518496,73323554211
7492457945191330,47969024068,73323569361
7492457995189150,47981130573,73323584495
7492458046188569,47986585115,73323591109
7492458095199517,47986585115,73323591109
7492458145208959,47986585115,73323591109
7492458195196701,47986585115,73323591109
7492458245181498,47986585115,73323591109
7492458296044110,47986585115,73323591109
7492458345188479,47986585115,73323591109
7492458395183735,47986585115,73323591109
7492458445208594,47986585115,73323591109
7492458495185857,47986585115,73323591109
7492458546654794,47986585115,73323591109
7492458595186677,47986585115,73323591109
7492458645207359,47986585115,73323591109
7492458695190853,47986585115,73323591109
7492458745192360,47986585115,73323591109
7492458795186103,47986585115,73323591109
7492458845185436,47986585115,73323591109
7492458895151449,47986585115,73323591109
7492458945187929,47986585115,73323591109
7492458995157769,47986585115,73323591109
7492459045307764,47986585115,73323591109
7492459095182482,47986585115,73323591109
7492459145199618,47986585115,73323591109
7492459196050960,47986585115,73323591109
7492459245134408,47986585115,73323591109
7492459295191055,47992837855,73323598714
7492459345186401,48004678421,73323613521
7492459395155099,48017316847,73323628838
7492459446090753,48025299242,73323638750
7492459495188598,48031712022,73323646477
7492459545254251,48039933307,73323656735
7492459595188857,48048581046,73323667362
7492459645187198,48059356808,73323680377
7492459695203061,48068669499,73323692041
7492459747058086,48071729404,73323695749
7492459795188193,48071729404,73323695749
7492459856622568,48071729404,73323695749
7492459902336241,48071729404,73323695749
7492459945194657,48071729404,73323695749
7492460045305846,48071729451,73323695807
7492460105288560,48071729466,73323695807
7492460156258937,48071729466,73323695807
7492460205394200,48071729466,73323695807
7492460255503812,48071729466,73323695807
7492460305405439,48071729466,73323695807
7492460355592992,48071729466,73323695807
7492460405395980,48071729466,73323695807
7492460456575134,48071729466,73323695807
7492460505390038,48071729466,73323695807
7492460587374008,48071729466,73323695807
7492460605386290,48071729466,73323695807
7492460655392145,48071729466,73323695807
7492460705395345,48071729466,73323695807
7492460787890218,48071729466,73323695807
7492460805418706,48071729466,73323695807
7492460855374029,48071729466,73323695807
7492460905406482,48071729466,73323695807
7492460955421624,48071729466,73323695807
7492461005404918,48071729466,73323695807
7492461055385908,48071729804,73323695869
7492461105386373,48080243898,73323706395
7492461155990639,48089822603,73323718043
7492461205444316,48104057838,73323735862
7492461255401764,48117095409,73323751561
7492461305408971,48131862680,73323770851
7492461355576418,48146762867,73323788836
7492461405398270,48156873771,73323800447
7492461455403804,48156873771,73323800447
7492461505396696,48156873771,73323800447
7492461555402631,48156873771,73323800447
7492461605396765,48156873771,73323800447
7492461655406827,48156873771,73323800447
7492461705406431,48156873771,73323800447
7492461755389314,48156873771,73323800447
7492461805401721,48156873771,73323800447
7492461855401705,48156873771,73323800447
7492461905374019,48156873771,73323800447
7492461955410990,48156873771,73323800447
7492462007049113,48156873771,73323800447
7492462055911853,48156873771,73323800447
7492462105926724,48156873771,73323800447
7492462155402412,48156873771,73323800447
7492462205434043,48156873771,73323800447
7492462255423689,48156873771,73323800447
