monotonic_ns,port_rcv_data_words,port_xmit_data_words
7492523588954148,49256505947,74932646237
7492523639038454,49256505947,74932646237
7492523689023652,49256505947,74932646237
7492523738992660,49256505947,74932646237
7492523789043727,49256505947,74932646237
7492523839982086,49256505947,74932646237
7492523888979219,49256505947,74932646237
7492523939057434,49256505947,74932646237
7492523989059622,49256505947,74932646237
7492524039031516,49256505947,74932646237
7492524089017635,49256505947,74932646237
7492524139024282,49256505947,74932646237
7492524189024396,49256505947,74932646237
7492524239045689,49256539346,74949013970
7492524289291467,49256598493,74976884001
7492524339035539,49256642498,74997584916
7492524389022700,49256713507,75031118793
7492524439027102,49256753731,75050014875
7492524489041132,49256788777,75067176789
7492524539028944,49256867867,75104307843
7492524589032134,49256916589,75127196055
7492524639024395,49256952444,75144229158
7492524689112798,49256989790,75161822562
7492524739025215,49257017179,75174702402
7492524789030959,49257030976,75182021291
7492524839717604,49257034642,75182819779
7492524942252360,49257043889,75187743406
7492524947087693,49257045009,75187743406
7492524997197916,49257064111,75196925243
7492525047206356,49257089432,75209034720
7492525097184341,49257140643,75233120629
7492525147324678,49257177280,75250552945
7492525197190480,49257201599,75261597869
7492525254685501,49257216171,75268916712
7492525299097473,49257228764,75274505725
7492525347400903,49257250261,75285151374
7492525397180419,49257290935,75304047487
7492525447177328,49257341260,75327867181
7492525497186559,49257360874,75337182135
7492525547184590,49257387159,75349557769
7492525597186688,49257409106,75360336489
7492525647200337,49257428782,75369518388
7492525868616664,49257438017,75373643589
7492525869566960,49257438017,75373643589
7492525936441401,49257452971,75381228636
7492525988181037,49257463009,75385753050
7492526019640185,49257478428,75392938931
7492526070390785,49257497264,75401588499
7492526121047244,49257498951,75402386925
7492526216666722,49257499249,75402786154
7492526220759293,49257500176,75402919225
7492526306822631,49257521031,75413032621
7492526320849174,49257527636,75415827158
7492526370864616,49257548441,75425807421
7492526420864370,49257585171,75443372824
7492526471312504,49257635582,75467458644
7492526520857857,49257665893,75481830312
7492526591503869,49257687101,75491411486
7492526624885179,49257689976,75492875221
7492526682367016,49257697853,75497000422
7492526720862482,49257702430,75498944451
7492526770871523,49257727260,75510440639
