monotonic_ns,port_rcv_data_words,port_xmit_data_words
7324391498115153,44408817722,63671798755
7324391548167352,44408817722,63671798755
7324391598165343,44408817722,63671798755
7324391648116088,44408817722,63671798755
7324391698163007,44408817722,63671798755
7324391748176576,44408817722,63671798755
7324391798139884,44408817722,63671798755
7324391848172868,44408817722,63671798755
7324391898166490,44408817722,63671798755
7324391948170702,44408817722,63671798755
7324391998164796,44408817722,63671798755
7324392048253270,44408817784,63671798813
7324392098163993,44408817784,63671798813
7324392148167263,44408817784,63671798813
7324392198130581,44408817784,63671798813
7324392248132419,44408817784,63671798813
7324392298166244,44408817784,63671798813
7324392348182177,44408817784,63671798813
7324392398169278,44408817784,63671798813
7324392448162080,44408817784,63671798813
7324392498170519,44408817784,63671798813
7324392548167658,44408817784,63671798813
7324392598162714,44408817784,63671798813
7324392648218398,44408817784,63671798813
7324392698164395,44408817784,63671798813
7324392748164089,44408817784,63671798813
7324392798172478,44408817784,63671798813
7324392848173645,44408817784,63671798813
7324392898173809,44408817784,63671798813
7324392948184893,44413873228,63671805026
7324392998325251,44420392059,63671813038
7324393048164595,44430902245,63671825985
7324393098177934,44439569348,63671836705
7324393148190921,44453119345,63671853259
7324393198178904,44468464465,63671872185
7324393248164172,44479859936,63671886122
7324393298162553,44483185886,63671890210
7324393348170251,44483984114,63671891191
7324393398165467,44484117152,63671891354
7324393448165922,44484250190,63671891518
7324393498161809,44484383228,63671891681
7324393548171611,44484516266,63671891845
7324393598169561,44486644874,63671894461
7324393648179964,44489704748,63671898221
7324393698167045,44493163736,63671902472
7324393749104423,44493961964,63671903453
7324393798367085,44493961964,63671903453
7324393848164003,44493961964,63671903453
7324393898163366,44493961964,63671903453
7324393948170884,44493961964,63671903453
7324393998167292,44501012978,63671912119
7324394048176593,44509793624,63671922830
7324394098176928,44520702602,63671936317
7324394148165812,44524560704,63671941074
7324394198152742,44529083981,63671946617
7324394248171310,44534006387,63671952667
7324394298165153,44543823110,63671964655
7324394348170317,44558485332,63671982859
7324394398180279,44568064068,63671994523
7324394448166469,44579106222,63672008093
7324394498175679,44579106222,63672008093
7324394548560118,44579106222,63672008093
7324394598173634,44579106222,63672008093
7324394648867382,44579106222,63672008093
7324394698159307,44579106222,63672008093
7324394748156456,44579106222,63672008093
7324394798118662,44579106222,63672008093
7324394848173125,44579106222,63672008093
7324394898164233,44579106222,63672008093
7324394948125658,44579106222,63672008093
7324394998163320,44579106222,63672008093
7324395048173743,44579106222,63672008093
7324395098174699,44579106222,63672008093
7324395148154747,44579106222,63672008093
7324395198254782,44579106222,63672008093
7324395249923691,44586423312,63672017194
7324395298164849,44594405592,63672026896
7324395348164242,44603718321,63672038449
7324395398172821,44615159543,63672052565
7324395448170722,44619416705,63672057634
7324395498164425,44626600757,63672066463
7324395548164299,44637837308,63672080305
7324395598190410,44649100950,63672094310
