monotonic_ns,port_rcv_data_words,port_xmit_data_words
7324812938796404,92075455478,3524126195
7324812988873699,92075455478,3524126195
7324813038865713,92075455478,3524126195
7324813088853550,92075455478,3524126195
7324813138829664,92075455478,3524126195
7324813188857986,92075455478,3524126195
7324813238832929,92075455478,3524126195
7324813288836274,92075455478,3524126195
7324813338825263,92075455478,3524126195
7324813388835592,92075455478,3524126195
7324813438872190,92075455478,3524126195
7324813488855307,92075455478,3524126195
7324813539512373,92075455478,3524126195
7324813588865515,92075455478,3524126195
7324813638826732,92075455478,3524126195
7324813688832342,92075455478,3524126195
7324813738833243,92075455478,3524126195
7324813788882545,92075455478,3524126195
7324813838827110,92075455478,3524126195
7324813888826007,92075455478,3524126195
7324813938902270,92075455478,3524126195
7324813988850261,92075455478,3524126195
7324814038829802,92075455478,3524126195
7324814088872310,92075455478,3524126195
7324814138861269,92075455478,3524126195
7324814188852140,92075455478,3524126195
7324814238813857,92075455478,3524126195
7324814289140661,92075455478,3524126195
7324814338827321,92075455478,3524126195
7324814388840063,92075455478,3524126195
7324814438868516,92075455478,3524126195
7324814488861532,92075455478,3524126195
7324814538861551,92075455478,3524126195
7324814588858454,92075455478,3524126195
7324814638867239,92075455478,3524126195
7324814688871106,92075455478,3524126195
7324814738863420,92075455478,3524126195
7324814788851647,92075455478,3524126195
7324814838869650,92075455478,3524126195
7324814888843399,92075455478,3524126195
7324814938843719,92075455478,3524126195
7324814988832096,92075455478,3524126195
7324815038823638,92075455478,3524126195
7324815088861198,92075455478,3524126195
7324815138837381,92075455478,3524126195
7324815188861756,92075455478,3524126195
7324815238871933,92075455478,3524126195
7324815288861462,92075455478,3524126195
7324815338849388,92075455478,3524126195
7324815388858754,92075455478,3524126195
7324815438864494,92075455478,3524126195
7324815488858331,92075455478,3524126195
7324815538870793,92075455478,3524126195
7324815588886912,92075455478,3524126195
7324815639013438,92075455478,3524126195
7324815688859898,92075455478,3524126195
7324815738840210,92075455478,3524126195
7324815788879031,92075455478,3524126195
7324815838876595,92075455478,3524126195
7324815889351787,92075455478,3524126195
7324815938912019,92075455478,3524126195
7324815988869868,92075455478,3524126195
7324816038866089,92075455478,3524126195
7324816088854175,92075455478,3524126195
7324816138858822,92075455478,3524126195
7324816188857447,92075455478,3524126195
7324816238831878,92075455478,3524126195
7324816288829331,92075455478,3524126195
7324816338827826,92075455478,3524126195
7324816388828416,92075455478,3524126195
7324816438871515,92075455478,3524126195
7324816488853329,92075455478,3524126195
7324816538827298,92075455478,3524126195
7324816588864787,92075455478,3524126195
7324816638842062,92075455478,3524126195
7324816688857369,92075455478,3524126195
7324816738849212,92075455478,3524126195
7324816788837107,92075455478,3524126195
7324816838858386,92075455478,3524126195
7324816888852202,92075455478,3524126195
7324816938869343,92075455478,3524126195
7324816989325950,92075455478,3524126195
7324817038847838,92075455478,3524126195
7324817088853426,92075455478,3524126195
7324817142083299,92075455478,3524126195
7324817188852831,92075455478,3524126195
7324817238905167,92075455478,3524126195
7324817288869127,92075455478,3524126195
7324817338862132,92075455478,3524126195
7324817388855888,92075455478,3524126195
7324817438870583,92075455478,3524126195
7324817488874529,92075455478,3524126195
7324817538866722,92075455478,3524126195
7324817588863624,92075455478,3524126195
7324817638863091,92075455478,3524126195
7324817688853821,92075455478,3524126195
7324817738853799,92075455478,3524126195
7324817789387721,92075455478,3524126195
7324817838855578,92075455478,3524126195
7324817888852249,92075455478,3524126195
7324817938853429,92075455478,3524126195
7324817988849460,92075455478,3524126195
7324818039436080,92075455478,3524126195
7324818088862118,92075455478,3524126195
7324818139479016,92075455478,3524126195
