monotonic_ns,port_rcv_data_words,port_xmit_data_words
7324462891801665,46019316128,65281272617
7324462941861838,46019316128,65281272617
7324462991845743,46019316128,65281272617
7324463041847320,46019316128,65281272617
7324463091850290,46019316128,65281272617
7324463141848130,46019316128,65281272617
7324463191845560,46019316128,65281272617
7324463241836278,46019316128,65281272617
7324463291847673,46019316128,65281272617
7324463341843499,46019318934,65282736414
7324463391855074,46019344543,65294845859
7324463441831416,46019373579,65308419101
7324463491856415,46019392089,65317334874
7324463541838838,46019404481,65323056911
7324463591856785,46019420396,65330775045
7324463641836192,46019486589,65362312872
7324463691855371,46019538610,65387064078
7324463741847871,46019563227,65398242026
7324463791855189,46019572614,65402633369
7324463841855664,46019594005,65412879836
7324463891847143,46019622318,65426186936
7324463941849762,46019666946,65447478312
7324463991997082,46019691023,65459055489
7324464041854369,46019742691,65483637173
7324464091848533,46019783182,65502303564
7324464141851332,46019822535,65520933550
7324464191861244,46019859190,65538232718
7324464241847153,46019867318,65542091777
7324464291838892,46019868760,65542757132
7324464341846901,46019868760,65542757132
7324464391846334,46019868760,65542757132
7324464441846679,46019869603,65543156345
7324464491845091,46019872456,65544487055
7324464541841599,46019875585,65545950836
7324464591846231,46019877272,65546749262
7324464641857396,46019897563,65556596516
7324464691860195,46019916442,65565246131
7324464741847446,46019942253,65577488663
7324464791848482,46019973031,65592259575
7324464841865026,46019997896,65603703650
7324464891858148,46020027173,65617543034
7324464941848084,46020047309,65627270737
7324464991851365,46020061019,65633644625
7324465041863932,46020080162,65642560382
7324465091846474,46020095146,65649613145
7324465141919090,46020113536,65658262760
7324465192208597,46020138252,65669839984
7324465241880930,46020161786,65681017901
7324465291847113,46020182966,65690998226
7324465341964008,46020215965,65706833675
7324465391852722,46020228670,65712555759
7324465441862273,46020252164,65723733692
7324465491845156,46020286980,65740101425
7324465541876738,46020315873,65754073896
7324465591854512,46020334433,65762457353
7324465641852502,46020358386,65773901475
7324465691857426,46020382851,65785345565
7324465741858221,46020419382,65802644857
7324465791856352,46020447478,65815951895
7324465841858551,46020448411,65816351139
7324465891846523,46020456189,65820077096
7324465941856525,46020469914,65826597575
7324465991849076,46020487997,65835114119
7324466042030789,46020528392,65854409430
7324466091847672,46020561183,65869845650
7324466141847516,46020598700,65887411022
7324466191829779,46020637377,65905641749
7324466241860899,46020679905,65925735470
7324466291846788,46020705917,65937978002
7324466341860296,46020757095,65962196924
7324466391852637,46020809761,65987081201
7324466441869822,46020867637,66014626914
7324466491847646,46020906246,66032724616
7324466541857038,46020926713,66042571808
7324466591843437,46020942187,66049890713
7324466641856966,46020970730,66063330884
7324466691835421,46020997015,66075839558
7324466741857696,46021053852,66102852971
7324466791855547,46021089986,66119752988
7324466841853517,46021107854,66128136477
7324466891853271,46021122454,66135056153
7324466941809296,46021138217,66142641216
7324466991855734,46021174168,66159674304
7324467041857702,46021216266,66179634954
7324467091845795,46021245881,66193474380
7324467141851219,46021254056,66197333439
7324467191846875,46021289883,66214233487
7324467241910314,46021318655,66227806698
7324467291854648,46021343132,66239383891
7324467341844133,46021383573,66258546099
7324467391849928,46021437771,66284361873
7324467441840084,46021472801,66300729606
7324467491848714,46021490171,66309246150
7324467541856853,46021528640,66327820954
7324467591847290,46021559738,66341715521
7324467641847004,46021599695,66360744643
7324467691853800,46021645319,66382568271
7324467741850268,46021693547,66405057317
7324467791847598,46021727039,66421425003
7324467841843024,46021767967,66440321085
7324467891852074,46021810694,66460547877
7324467941848853,46021838421,66473721906
7324467991847495,46021859692,66483835302
7324468041847289,46021881700,66494347927
7324468091846321,46021911955,66508719595
7324468141894142,46021957107,66530010986
7324468191848894,46021998593,66549572392
7324468241849199,46022030525,66564609399
7324468292155356,46022049355,66573658227
7324468342860574,46022090519,66593086593
7324468391904722,46022141452,66617438586
7324468442029772,46022210005,66649641768
7324468491801264,46022228962,66658557525
