monotonic_ns,port_rcv_data_words,port_xmit_data_words
7324449607308303,46015916033,63673774705
7324449657361052,46015916033,63673774705
7324449707359163,46015916033,63673774705
7324449757363505,46015916033,63673774705
7324449807356617,46015916033,63673774705
7324449857355479,46015916033,63673774705
7324449908724336,46015916033,63673774705
7324449957356129,46015916033,63673774705
7324450007366632,46015916033,63673774705
7324450057598465,46015916033,63673774705
7324450107364407,46015916033,63673774705
7324450157358510,46015947122,63688412515
7324450207601744,46015983352,63705977887
7324450257357126,46016011904,63719018845
7324450307352032,46016031059,63728200744
7324450357360050,46016052761,63738314140
7324450407357229,46016077759,63750157459
7324450457382730,46016096803,63760004729
7324450507355365,46016134137,63776771675
7324450557355399,46016179211,63798063019
7324450607363277,46016215584,63815495320
7324450657322678,46016265413,63839181958
7324450707354550,46016304595,63857678827
7324450757362659,46016357869,63882563166
7324450807359197,46016397222,63901193106
7324450857362858,46016441937,63922484404
7324450909031777,46016479163,63940582060
7324450957663249,46016507035,63953356892
7324451007354045,46016535702,63967063220
7324451057358878,46016575024,63985560058
7324451107353563,46016621323,64007516820
7324451157363866,46016659833,64025747500
7324451207384828,46016691334,64040651452
7324451257365287,46016723678,64056220759
7324451307469038,46016758063,64072189279
7324451357614335,46016778980,64082036549
7324451407353789,46016806434,64095210593
7324451457359323,46016843778,64112642910
7324451508607622,46016871353,64125683837
7324451557359592,46016898267,64138591708
7324451607369995,46016917041,64147374394
7324451658033348,46016942622,64159483855
7324451707354676,46016958050,64166802760
7324451757352346,46016968203,64171593316
7324451807349245,46016995837,64184900416
7324451860332537,46017027692,64199804399
7324451907356466,46017035866,64203663427
7324451957358605,46017047768,64209252409
7324452007380468,46017066387,64218035126
7324452057349326,46017098298,64233471331
7324452107358157,46017129712,64247976128
7324452157357981,46017142702,64254097410
7324452207363254,46017162134,64263279293
7324452258043097,46017172333,64268069849
7324452307371047,46017183054,64273126547
7324452357367034,46017207301,64284570653
7324452407350489,46017215730,64288429774
7324452457360090,46017235875,64298010824
7324452507367518,46017255337,64307192723
7324452557370848,46017288494,64322895101
7324452607358180,46017334977,64345117989
7324452657357052,46017363671,64358558129
7324452707355874,46017384684,64368636129
7324452757370114,46017405573,64378385708
7324452807360270,46017436764,64393289660
7324452858206413,46017468160,64407927470
7324452907364236,46017496870,64421500712
7324452957358610,46017514599,64429884185
7324453007371077,46017542543,64443191285
7324453058650452,46017586191,64463684219
7324453107359034,46017616755,64478188958
7324453157368415,46017652700,64495488188
7324453207363240,46017687470,64512255134
7324453257354749,46017727514,64530885074
7324453307355955,46017748751,64541131541
7324453357359887,46017764445,64548051233
7324453407425299,46017785731,64558031605
7324453457355558,46017815303,64572004013
7324453507359309,46017848352,64587729293
7324453557484369,46017885881,64605404834
7324453607353236,46017889578,64607134757
7324453657353371,46017897690,64610993816
7324453707357573,46017914883,64619111147
7324453757358589,46017932289,64627361549
7324453807424462,46017942427,64632152105
7324453857354740,46017952518,64636942661
7324453907354945,46017963759,64642265501
7324453957325486,46017981228,64650515903
7324454007356516,46018004753,64661693867
7324454057333589,46018010412,64664355287
7324454107364549,46018011532,64664887571
7324454157355467,46018016915,64667415920
7324454207362564,46018056436,64686312018
7324454257353763,46018108072,64710664011
7324454307359728,46018130571,64721309675
7324454357353271,46018148021,64729693148
7324454407375415,46018158636,64734616775
7324454457359851,46018177298,64743578258
7324454507391793,46018210288,64761063546
7324454557364428,46018258876,64782133542
7324454607356969,46018283660,64793700299
7324454657364617,46018292417,64797825500
7324454707362257,46018308183,64805277492
7324454757363002,46018321726,64811664884
7324454807352548,46018323518,64812596381
7324454857326645,46018324287,64812862523
7324454907355171,46018332232,64816588511
7324454957368550,46018346634,64823375132
7324455007361020,46018374776,64836815303
7324455057361986,46018401477,64849323977
7324455107370005,46018435263,64865292513
7324455157368106,46018467546,64880595662
7324455207354365,46018510654,64901221667
7324455257349300,46018548261,64918787055
7324455307387764,46018587506,64937416979
7324455357346334,46018606878,64946465807
7324455407355945,46018625299,64955115422
7324455457356320,46018636677,64960704404
7324455507351115,46018666078,64974410717
7324455558050172,46018693204,64987451675
7324455607358547,46018716840,64998762710
7324455657358451,46018741150,65009940674
7324455707351643,46018780534,65028570630
7324455757352950,46018813018,65043873779
7324455807485614,46018834183,65053854104
7324455857353489,46018864381,65068092701
7324455907356820,46018887556,65079004570
7324455957356233,46018907939,65088585635
7324456007351038,46018938643,65103090374
7324456057356983,46018957200,65111873060
7324456107461165,46018976663,65121054959
7324456157355288,46019018348,65140882554
7324456207354932,46019061196,65161109330
7324456257354155,46019089490,65174549501
7324456307358888,46019105166,65181868406
7324456357371956,46019126806,65192114873
7324456407356702,46019152694,65204357405
7324456457353711,46019178644,65216639432
7324456507356070,46019196143,65224850339
7324456557355503,46019202922,65228044043
7324456607354195,46019207999,65230439337
7324456657318695,46019213627,65233100741
7324456707314872,46019226432,65239222007
7324456757356562,46019249147,65249867687
7324456807356576,46019279178,65264106284
7324456857378130,46019310738,65278744141
7324456907367715,46019315942,65281272443
7324456957358723,46019315942,65281272443
7324457008039116,46019315942,65281272443
7324457057358962,46019316004,65281272501
7324457107344751,46019316004,65281272501
7324457157335258,46019316004,65281272501
7324457207355368,46019316004,65281272501
7324457257353780,46019316004,65281272501
7324457307351149,46019316004,65281272501
7324457357342728,46019316004,65281272501
7324457407418580,46019316004,65281272501
7324457457368093,46019316004,65281272501
7324457507369089,46019316004,65281272501
7324457557371658,46019316004,65281272501
7324457607371892,46019316004,65281272501
7324457657491042,46019316004,65281272501
7324457707349861,46019316004,65281272501
7324457757533708,46019316004,65281272501
7324457807948381,46019316004,65281272501
7324457857751469,46019316004,65281272501
7324457907373802,46019316004,65281272501
7324457957372453,46019316004,65281272501
7324458007370184,46019316066,65281272559
7324458057503038,46019316066,65281272559
7324458108492309,46019316066,65281272559
7324458157353967,46019316066,65281272559
7324458207355144,46019316066,65281272559
7324458257355519,46019316066,65281272559
7324458307355733,46019316066,65281272559
7324458357355517,46019316066,65281272559
7324458408398585,46019316066,65281272559
7324458459995293,46019316066,65281272559
7324458507365899,46019316066,65281272559
7324458557354482,46019316066,65281272559
7324458607354357,46019316066,65281272559
7324458657355553,46019316066,65281272559
7324458707363552,46019316066,65281272559
7324458757343099,46019316066,65281272559
7324458807357189,46019316066,65281272559
7324458859631130,46019316066,65281272559
7324458907360603,46019316066,65281272559
7324458957356791,46019316066,65281272559
7324459007354641,46019316066,65281272559
7324459057361688,46019316066,65281272559
7324459107359128,46019316066,65281272559
7324459157360144,46019316066,65281272559
7324459207375195,46019316066,65281272559
7324459257357518,46019316066,65281272559
7324459307348796,46019316066,65281272559
7324459357362065,46019316066,65281272559
7324459407358072,46019316066,65281272559
7324459457355451,46019316066,65281272559
7324459507361697,46019316066,65281272559
7324459557358816,46019316066,65281272559
7324459607357177,46019316066,65281272559
7324459659260188,46019316066,65281272559
7324459707554853,46019316066,65281272559
7324459757358072,46019316066,65281272559
7324459807369667,46019316066,65281272559
7324459857524871,46019316066,65281272559
7324459907357443,46019316066,65281272559
7324459957364500,46019316066,65281272559
7324460007358394,46019316066,65281272559
7324460057360371,46019316066,65281272559
7324460107367479,46019316066,65281272559
7324460157316731,46019316066,65281272559
7324460207363911,46019316066,65281272559
7324460257355319,46019316066,65281272559
7324460307351296,46019316066,65281272559
7324460357352904,46019316066,65281272559
7324460407455864,46019316066,65281272559
7324460457355497,46019316066,65281272559
7324460507361442,46019316066,65281272559
7324460557353071,46019316066,65281272559
7324460607313464,46019316066,65281272559
7324460657370391,46019316066,65281272559
7324460707355639,46019316066,65281272559
7324460758334671,46019316066,65281272559
7324460807330963,46019316066,65281272559
7324460857369677,46019316066,65281272559
