monotonic_ns,port_rcv_data_words,port_xmit_data_words
7322533262664499,44401995862,60456776353
7322533312724492,44401995862,60456776353
7322533362706243,44401995862,60456776353
7322533412714913,44401995862,60456776353
7322533462716561,44401995862,60456776353
7322533512716114,44401995862,60456776353
7322533562711270,44401995862,60456776353
7322533612715321,44401995862,60456776353
7322533662706750,44401995862,60456776353
7322533712707195,44402017501,60467022820
7322533762707500,44402078109,60495899243
7322533812708807,44402135926,60523178798
7322533862710444,44402174340,60541542596
7322533912708635,44402227769,60566959157
7322533962706425,44402276958,60589980424
7322534012708233,44402316373,60608477355
7322534062706303,44402361891,60630300953
7322534112706809,44402396310,60646316225
7322534162715078,44402406432,60651060013
7322534212705354,44402432199,60663169474
7322534262718783,44402473357,60682863982
7322534312708990,44402488559,60689916745
7322534362710717,44402505736,60698034076
7322534412707175,44402538155,60713603383
7322534462716716,44402592570,60739286102
7322534512760059,44402620756,60752593217
7322534562709372,44402667846,60775215256
7322534612715397,44402711469,60795708221
7322534662706235,44402794111,60834964135
7322534712873501,44402838087,60855856298
7322534762707245,44402885968,60878079139
7322534812678327,44402930866,60899104419
7322534862695573,44402985241,60925319360
7322534912702670,44403032427,60947838487
7322534962718122,44403090523,60974821772
7322535012707066,44403141136,60998774536
7322535062706780,44403181869,61018202902
7322535112813898,44403218934,61035768274
7322535162712088,44403277898,61063846255
7322535212721259,44403325019,61085802970
7322535262722105,44403367687,61106029762
7322535312726928,44403405133,61123603508
7322535362702308,44403413450,61127587264
7322535412722959,44403435136,61138099873
7322535462760682,44403497462,61167375493
7322535512710425,44403552153,61193191267
7322535562720317,44403581136,61206897596
7322535612706897,44403625060,61228055869
7322535662708214,44403680043,61253871643
7322535714103138,44403725220,61275429145
7322535762707812,44403792256,61306967003
7322535812715780,44403850827,61334778827
7322535862724871,44403892019,61354473319
7322535912711030,44403923520,61369244200
7322535962727404,44403956664,61384813523
7322536012670466,44403979104,61395193045
7322536062709881,44404015374,61412359251
7322536112711799,44404050823,61428993141
7322536162707976,44404102928,61454177800
7322536212762489,44404154152,61478362420
7322536262707724,44404193616,61496726218
7322536312710173,44404230730,61514291606
7322536362722339,44404271739,61533586885
7322536412714530,44404302081,61548249643
7322536462713842,44404366776,61578831041
7322536513916118,44404426404,61606909006
7322536562680441,44404457139,61621413776
7322536612723863,44404479160,61631926370
7322536662715102,44404531823,61656943718
7322536712708835,44404542131,61661734258
7322536762715992,44404549155,61665061049
7322536812711779,44404581865,61680630340
7322536862700503,44404630531,61703651639
7322536912716796,44404679767,61727205190
7322536962713375,44404739277,61755283171
7322537014140897,44404785778,61777639115
7322537062688959,44404833672,61799861956
7322537112722043,44404873087,61818624967
7322537162707291,44404917048,61839117963
7322537212715009,44404958144,61858679396
7322537262716075,44404998337,61877841620
7322537312714817,44405047843,61901262116
7322537362749444,44405067241,61910577086
7322537412726767,44405089714,61921089742
7322537462707627,44405119863,61935461363
7322537512713011,44405161378,61955022847
7322537562703779,44405204092,61975116537
7322537612721845,44405251865,61997738591
7322537662706742,44405307948,62024485862
7322537712710664,44405367192,62052430772
7322537762713103,44405392267,62064274091
7322537812768176,44405392267,62064274091
7322537862707090,44405392267,62064274091
7322537912705081,44405392267,62064274091
7322537962715594,44405392267,62064274091
7322538012698578,44405392267,62064274091
7322538062708690,44405392267,62064274091
7322538112710307,44405392329,62064274149
