monotonic_ns,port_rcv_data_words,port_xmit_data_words
7322523146946817,44398599580,58849278557
7322523196999366,44398599580,58849278557
7322523246995584,44398599580,58849278557
7322523296995498,44398599580,58849278557
7322523346994991,44398599580,58849278557
7322523397264202,44398599580,58849278557
7322523447015727,44398599580,58849278557
7322523496965300,44398599580,58849278557
7322523546997412,44398599580,58849278557
7322523597000072,44398599580,58849278557
7322523647010775,44398626526,58862186460
7322523697015789,44398676813,58885873082
7322523747206678,44398725305,58909293609
7322523796996773,44398766593,58928322747
7322523846954641,44398799288,58944025109
7322523896994116,44398820007,58953739292
7322523946995924,44398863363,58974498368
7322523997015133,44398898666,58990999172
7322524046962993,44398936686,59008963757
7322524096992691,44398975040,59027460642
7322524147045150,44399002432,59040102371
7322524196994032,44399028627,59052611107
7322524247024742,44399047783,59061526818
7322524296999961,44399063549,59069170041
7322524346953512,44399093363,59083350477
7322524397023372,44399115291,59093596929
7322524447020752,44399133345,59101980386
7322524497020526,44399141504,59105839445
7322524547096026,44399160123,59114622131
7322524596998054,44399190781,59129259957
7322524647018926,44399222452,59144030838
7322524696999335,44399252344,59158224668
7322524747016229,44399276607,59169713525
7322524797019630,44399300991,59181157631
7322524847007702,44399334073,59196726954
7322524896996837,44399370896,59214159255
7322524946981854,44399393441,59224804919
7322524996997116,44399417304,59236115954
7322525047000156,44399441880,59247693178
7322525097019064,44399451121,59252084474
7322525147026452,44399492450,59271778998
7322525198466217,44399517972,59283755372
7322525247000263,44399548229,59298127040
7322525297020244,44399561784,59304780590
7322525347019416,44399597267,59321148385
7322525396998894,44399649583,59346298742
7322525446995111,44399708463,59374064792
7322525497418921,44399737465,59387816925
7322525546997474,44399765945,59401123994
7322525597018897,44399789111,59411902807
7322525647037555,44399814375,59424145277
7322525698278400,44399840477,59436787022
7322525747025582,44399882351,59456082333
7322525797037317,44399933368,59480567381
7322525847016744,44399962406,59494140639
7322525897032116,44399997967,59511040640
7322525946986208,44400037800,59529829653
7322525996994938,44400081597,59550695798
7322526047020849,44400137712,59577176943
7322526097018148,44400182600,59598468318
7322526146993248,44400224487,59618162795
7322526196996969,44400247553,59629074617
7322526246991313,44400280220,59644643924
7322526297024457,44400334833,59670508543
7322526347018851,44400381241,59692283342
7322526396995503,44400408357,59705058158
7322526446994806,44400436515,59718365289
7322526497018062,44400451819,59725551108
7322526546984646,44400492738,59745112529
7322526597011880,44400548822,59771593658
7322526647000363,44400612159,59801800775
7322526697024040,44400689944,59838661442
7322526747366553,44400737381,59861017386
7322526797015934,44400809708,59895083546
7322526846998197,44400878745,59928218241
7322526896996488,44400937641,59956030064
7322526947023080,44400999108,59984906533
7322526996998219,44401048577,60008593125
7322527047023018,44401111784,60038267942
7322527096998709,44401171524,60067475960
7322527146991400,44401204705,60082314501
7322527197026247,44401227647,60093430056
7322527246995947,44401249274,60103339719
7322527296997554,44401272464,60114251557
7322527348083750,44401312621,60133679907
7322527397366208,44401349989,60150979137
7322527447013185,44401379558,60165084663
7322527496992943,44401407886,60178258692
7322527546991514,44401434317,60191166579
7322527597022074,44401480902,60213389483
7322527647015486,44401540176,60241201337
7322527697039274,44401592504,60265952481
7322527747023018,44401613310,60275799735
7322527798540083,44401665089,60299987430
7322527846999745,44401723473,60327431330
7322527896995201,44401768104,60348988801
7322527947017245,44401842515,60384385671
7322527997020285,44401919717,60420721374
7322528047021752,44401973146,60446130646
7322528097011047,44401995800,60456776295
7322528146993359,44401995800,60456776295
7322528197014321,44401995800,60456776295
7322528246995361,44401995800,60456776295
7322528296994384,44401995800,60456776295
7322528346996933,44401995800,60456776295
7322528396994523,44401995800,60456776295
7322528446993144,44401995800,60456776295
7322528496994000,44401995800,60456776295
7322528547022216,44401995800,60456776295
7322528597011771,44401995800,60456776295
7322528646955484,44401995800,60456776295
7322528696994669,44401995800,60456776295
7322528746997448,44401995800,60456776295
7322528796994026,44401995800,60456776295
7322528846998819,44401995800,60456776295
7322528896996379,44401995800,60456776295
7322528947000250,44401995800,60456776295
7322528996999122,44401995800,60456776295
7322529047011800,44401995800,60456776295
7322529097032652,44401995800,60456776295
7322529147021165,44401995800,60456776295
7322529197011923,44401995800,60456776295
7322529247018419,44401995800,60456776295
7322529297022831,44401995800,60456776295
7322529347031781,44401995800,60456776295
7322529396992865,44401995800,60456776295
7322529446993290,44401995800,60456776295
7322529496994266,44401995800,60456776295
7322529547031698,44401995800,60456776295
7322529596997200,44401995800,60456776295
7322529646997084,44401995800,60456776295
7322529697021092,44401995800,60456776295
7322529746997043,44401995800,60456776295
7322529796999932,44401995800,60456776295
7322529846993054,44401995800,60456776295
7322529896994671,44401995800,60456776295
7322529947008070,44401995800,60456776295
7322529996999208,44401995800,60456776295
7322530046941388,44401995800,60456776295
7322530096982907,44401995800,60456776295
7322530147040546,44401995800,60456776295
7322530197000017,44401995800,60456776295
7322530247017583,44401995800,60456776295
7322530296995697,44401995800,60456776295
7322530346998076,44401995800,60456776295
7322530397013098,44401995800,60456776295
7322530447026346,44401995800,60456776295
7322530497016442,44401995800,60456776295
7322530546992193,44401995800,60456776295
7322530596996685,44401995800,60456776295
7322530647030310,44401995800,60456776295
7322530697016630,44401995800,60456776295
7322530747879052,44401995800,60456776295
7322530797124533,44401995800,60456776295
7322530847040956,44401995800,60456776295
7322530896997332,44401995800,60456776295
7322530947016441,44401995800,60456776295
7322530996996298,44401995800,60456776295
7322531047863158,44401995800,60456776295
7322531096998641,44401995800,60456776295
7322531147018622,44401995800,60456776295
7322531196961743,44401995800,60456776295
7322531246995639,44401995800,60456776295
7322531297000031,44401995800,60456776295
7322531346965262,44401995800,60456776295
7322531397011520,44401995800,60456776295
7322531448806166,44401995800,60456776295
7322531496998776,44401995800,60456776295
7322531546994412,44401995800,60456776295
7322531598172244,44401995800,60456776295
7322531647018184,44401995800,60456776295
7322531696999955,44401995800,60456776295
7322531747000280,44401995800,60456776295
7322531796993893,44401995800,60456776295
7322531846998145,44401995800,60456776295
7322531896994052,44401995800,60456776295
7322531947073018,44401995800,60456776295
7322531996997637,44401995800,60456776295
7322532046997571,44401995800,60456776295
7322532097285325,44401995800,60456776295
7322532146994935,44401995862,60456776353
7322532196996632,44401995862,60456776353
