monotonic_ns,port_rcv_data_words,port_xmit_data_words
7476389568254080,47635564416,68500446268
7476389618314624,47635564416,68500446268
7476389669473982,47635564416,68500446268
7476389718355837,47635564416,68500446268
7476389785525842,47635564416,68500446268
7476389818309592,47635564416,68500446268
7476389868352334,47635564416,68500446268
7476389918314470,47635564416,68500446268
7476389968304396,47635564416,68500446268
7476390018306414,47635564416,68500446268
7476390068297702,47635564416,68500446268
7476390118303056,47635564416,68500446268
7476390168297811,47635564416,68500446268
7476390221069381,47635566469,68501510867
7476390268243201,47635612554,68523334496
7476390318303755,47635649554,68540633772
7476390368298339,47635709932,68569629620
7476390418307840,47635748711,68587740844
7476390468321589,47635777142,68601580259
7476390518308460,47635822496,68622738533
7476390568311209,47635836928,68629392067
7476390619720208,47635851683,68636311759
7476390668435402,47635861222,68640836173
7476390718313066,47635867710,68643896806
7476390768297872,47635869719,68644961374
7476390818325416,47635873385,68646558226
7476390868302690,47635886329,68652679492
7476390918670628,47635892323,68655607070
7476390968337581,47635919805,68668648028
7476391018309445,47635948515,68682088245
7476391068305742,47635968716,68691669295
7476391118291331,47635968716,68691669295
7476391168302535,47635976630,68695661425
7476391218317797,47635999572,68706307105
7476391268387106,47636023798,68718150440
7476391318323826,47636049772,68729860730
7476391368796394,47636075353,68742103278
7476391418556114,47636109921,68758337924
7476391468322908,47636151203,68778165519
7476391518326057,47636193180,68797860027
7476391568320041,47636239464,68819949797
7476391618309135,47636293708,68845499445
7476391668307407,47636337189,68866391592
7476391718304255,47636386847,68889595829
7476391768296866,47636428315,68909639667
7476391819214107,47636463959,68926007431
7476391868327280,47636501609,68943971985
7476391918305024,47636555485,68969787743
7476391968331957,47636601341,68991212190
7476392018276831,47636639001,69009176759
7476392068312009,47636682134,69029270496
7476392118310070,47636744522,69059078384
7476392168299956,47636791621,69081035115
7476392218324491,47636817664,69093277647
7476392268303739,47636858093,69112306846
7476392318312659,47636900743,69132533592
7476392368299901,47636936588,69149832806
7476392445573243,47636961124,69161409983
7476392468312493,47636965866,69163139906
7476392518299133,47636965866,69163139906
7476392568291975,47636965866,69163139906
7476392618303269,47636971445,69165934397
7476392713759262,47636992145,69175914722
7476392766813472,47636993518,69176313935
7476392816925890,47636995742,69177245432
7476392872151232,47637016851,69187624970
7476392917046617,47637045908,69200932070
7476392967053573,47637091085,69222489572
7476393016877199,47637137437,69244313216
7476393068047918,47637166405,69258019529
7476393116976687,47637222829,69284899887
7476393166919749,47637256278,69300735320
