monotonic_ns,port_rcv_data_words,port_xmit_data_words
7476330414345250,46028465577,68498470318
7476330464396417,46028465577,68498470318
7476330514403795,46028465577,68498470318
7476330564385877,46028465577,68498470318
7476330614407361,46028465577,68498470318
7476330666053869,46028465577,68498470318
7476330714387053,46028465577,68498470318
7476330764358737,46028465577,68498470318
7476330814741482,46028465577,68498470318
7476330864393118,46028465577,68498470318
7476330914394525,46028465577,68498470318
7476330964411630,46028465577,68498470318
7476331014572656,46028465577,68498470318
7476331064389740,46028465577,68498470318
7476331114385707,46028465577,68498470318
7476331164379360,46028465577,68498470318
7476331214374816,46028465639,68498470376
7476331264388786,46028465639,68498470376
7476331314376378,46028465639,68498470376
7476331364386752,46028465639,68498470376
7476331414396975,46028465639,68498470376
7476331464394334,46028465639,68498470376
7476331514380274,46028465639,68498470376
7476331564440377,46028465639,68498470376
7476331614404216,46028465639,68498470376
7476331664393301,46028465639,68498470376
7476331714406389,46028465639,68498470376
7476331764389823,46028465639,68498470376
7476331814374500,46028465639,68498470376
7476331864378362,46028465639,68498470376
7476331915105389,46028465639,68498470376
7476331964393358,46028598677,68498470540
7476332014385779,46030594247,68498472992
7476332064404277,46031791589,68498474572
7476332114388964,46034053235,68498477243
7476332164391523,46034053235,68498477243
7476332217216379,46034585387,68498477897
7476332266086383,46034585387,68498477897
7476332314388040,46035782729,68498479369
7476332364374901,46037246147,68498481167
7476332414374274,46039108679,68498483456
7476332466094786,46042790075,68498487939
7476332514390202,46046558792,68498492612
7476332564381681,46048022210,68498494355
7476332614513163,46049485643,68498496209
7476332664411324,46050017795,68498496863
7476332714411930,46050017795,68498496863
7476332764386017,46055073239,68498503076
7476332814385611,46061326025,68498510761
7476332864408567,46061991215,68498511578
7476332914383476,46062789443,68498512559
7476332964373393,46064918036,68498515175
7476333014402630,46070771708,68498522477
7476333064382488,46075827152,68498528798
7476333114377764,46086603245,68498541826
7476333164378650,46092589893,68498548961
7476333214377693,46101237425,68498559811
7476333264376335,46108421446,68498568640
7476333314372122,46113609959,68498575016
7476333364390409,46113609959,68498575016
