monotonic_ns,port_rcv_data_words,port_xmit_data_words
7476413972141972,47642361303,71715442034
7476414022339363,47642361303,71715442034
7476414072159963,47642361303,71715442034
7476414122155840,47642361303,71715442034
7476414172128024,47642361303,71715442034
7476414222149016,47642361303,71715442034
7476414272165320,47642361303,71715442034
7476414322151559,47642361303,71715442034
7476414372143409,47642361303,71715442034
7476414422152820,47642361303,71715442034
7476414472156791,47642361303,71715442034
7476414522155704,47642361303,71715442034
7476414572152823,47642361303,71715442034
7476414622312576,47642380977,71725156217
7476414672147312,47642433004,71749242084
7476414722142758,47642491692,71777187009
7476414772146929,47642536199,71798212196
7476414822659810,47642592286,71824693325
7476414872789348,47642630181,71842657910
7476414922192485,47642665872,71859424856
7476414972179606,47642703017,71876990228
7476415022397063,47642727599,71888700476
7476415072219266,47642761525,71904669012
7476415122155365,47642789776,71918109183
7476415172400201,47642818809,71931682409
7476415223095912,47642850040,71946320281
7476415272156199,47642896594,71969075360
7476415322186528,47642955220,71996780114
7476415372145488,47643003083,72018710905
7476415422810714,47643060149,72046256540
7476415472149043,47643091669,72061293579
7476415522182668,47643138272,72083383349
7476415572158649,47643180016,72103077873
7476415622165766,47643228176,72125833014
7476415672158708,47643264741,72142866102
7476415722337465,47643299892,72159499992
7476415772146765,47643364451,72189840211
7476415822147450,47643406772,72210066941
7476415872145441,47643417784,72215256710
7476415922148902,47643439423,72225503177
7476415972157391,47643443979,72227632313
7476416022160581,47643444546,72227898455
7476416072160415,47643447936,72229495307
7476416122146725,47643466217,72238144922
7476416172146038,47643500878,72255444152
7476416222192676,47643527256,72267021387
7476416272163658,47643530323,72268485168
7476416322252753,47643540997,72273541866
7476416372163476,47643552176,72278864706
7476416422167448,47643567313,72286183611
7476416472147787,47643593750,72298692285
7476416522178096,47643631605,72316390728
7476416575689832,47643649653,72325040359
7476416622162927,47643695630,72346997058
7476416672164304,47643719738,72358441164
7476416722162114,47643720523,72358574235
7476416784482831,47643728480,72362832523
7476416863744164,47643734124,72364961659
7476416872089826,47643738528,72367090779
7476416931836794,47643742066,72368953773
7476416972179457,47643757758,72376139638
7476417039192498,47643776054,72385055380
7476417124820871,47643777121,72385720719
7476417125487585,47643777927,72385720781
7476417175593190,47643815379,72403419193
7476417225666035,47643843336,72416859333
7476417275595512,47643870008,72429234983
7476417326769236,47643904945,72445735802
7476417375600380,47643961550,72472882240
7476417426273199,47644009015,72494972041
7476417475578048,47644053066,72515731102
7476417525598028,47644117638,72546204407
7476417575779170,47644169730,72570955551
7476417625580375,47644213821,72592246911
7476417675589456,47644255286,72611675308
7476417742789635,47644270609,72618994213
7476417782586742,47644283627,72624849368
7476417826030886,47644294590,72630039137
7476417920071311,47644294664,72630039137
7476418021572140,47644300897,72634563505
7476418026171978,47644305236,72635228891
7476418079053797,47644345376,72654257997
7476418126268380,47644385632,72673420237
7476418176268244,47644435991,72697373017
7476418283297979,47644462223,72709482524
7476418286231107,47644463417,72710681159
7476418337279264,47644496378,72725850211
7476418386344099,47644526589,72740088808
7476418436351918,47644549150,72750468377
7476418486330223,47644600845,72775219598
7476418536335246,47644649756,72798506977
7476418586325713,47644700809,72822459803
7476418636344622,47644703833,72823790451
7476418686365874,47644707805,72825653445
7476418736335654,47644731758,72837363709
7476418786335428,47644766661,72853864513
7476418836391914,47644813079,72876353543
7476418886328574,47644852611,72894185010
