monotonic_ns,port_rcv_data_words,port_xmit_data_words
7476401959073722,47638963162,70107944180
7476402009129176,47638963162,70107944180
7476402059121877,47638963162,70107944180
7476402109120048,47638963162,70107944180
7476402159097311,47638963162,70107944180
7476402209125767,47638963162,70107944180
7476402260058556,47638963162,70107944180
7476402309118763,47638963162,70107944180
7476402359129997,47638963162,70107944180
7476402409445191,47638963162,70107944180
7476402459118766,47638963162,70107944180
7476402510048599,47638963162,70107944180
7476402559131147,47638987806,70119521373
7476402609120041,47639038364,70143379569
7476402659622523,47639115941,70180734048
7476402767673200,47639163961,70203223078
7476402856938682,47639170647,70206150578
7476402907063262,47639179405,70210275779
7476402957431501,47639193592,70217195471
7476403007080041,47639220677,70229837216
7476403057290616,47639250339,70243809687
7476403107070202,47639286579,70261108932
7476403157243900,47639307586,70270690075
7476403207036891,47639332190,70282400261
7476403257069605,47639356146,70294225842
7476403307041288,47639393871,70311675881
7476403357041703,47639416369,70322587703
7476403407042039,47639462030,70344012134
7476403457046902,47639500632,70362509003
7476403564848952,47639501752,70362509003
7476403568318879,47639501752,70362509003
7476403618423352,47639524920,70373420887
7476403668419961,47639547313,70384199592
7476403718415457,47639551180,70385929499
7476403768408369,47639560397,70390320842
7476403818426897,47639580396,70399901954
7476403868412375,47639611953,70414805968
7476403918411318,47639642771,70429443716
7476403968435937,47639658444,70436629550
7476404018416306,47639674241,70444081526
7476404068415569,47639699897,70456457145
7476404118429489,47639737904,70474155619
7476404168412413,47639776075,70492253228
7476404219218603,47639801517,70504362689
7476404268437477,47639829892,70517669789
7476404318425580,47639862308,70533239096
7476404368438999,47639896519,70553598975
7476404418414689,47639923437,70562381676
7476404470818085,47639949926,70574890381
7476404518420309,47639974679,70586600598
7476404568434749,47640010215,70603101402
7476404618421019,47640058986,70626388827
7476404668417407,47640095005,70643421884
7476404718414606,47640145941,70667507751
7476404768424629,47640154332,70671233723
7476404821409224,47640189545,70688133802
7476404872306720,47640196585,70691194373
7476404918422298,47640221077,70703037708
7476404968423485,47640275297,70728853466
7476405018421265,47640321755,70750745695
7476405069048623,47640371450,70774230708
7476405118419160,47640408424,70791796049
7476405168413815,47640417839,70796054352
7476405218549304,47640447058,70809760634
7476405277132680,47640476894,70823733151
7476405318426771,47640509536,70839701609
7476405368389337,47640538829,70854206348
7476405418432079,47640563275,70864852028
7476405468422185,47640589594,70878159144
7476405518407804,47640623994,70893462293
7476405569906054,47640686289,70923536339
7476405618428469,47640739845,70948287561
7476405700874133,47640760372,70958400957
7476405719767406,47640769966,70962526142
7476405769047821,47640777676,70966385201
7476405833732507,47640787717,70971308828
7476405889138916,47640790517,70972240325
7476405944230907,47640794174,70973837239
7476405968474302,47640811558,70982353721
7476406018420299,47640853395,71002181300
7476406068418841,47640902681,71025734867
7476406122053019,47640928315,71037445115
7476406168422045,47640953769,71049706379
7476406218426007,47641001889,71072708988
7476406268436159,47641043778,71092137401
7476406318410096,47641097858,71117953144
7476406368530378,47641162113,71148465897
7476406418420694,47641231730,71181028782
7476406468425247,47641278898,71203650883
7476406518428096,47641332029,71228535129
7476406568418934,47641377255,71250092647
7476406618422695,47641426960,71274843837
7476406668421066,47641456482,71287620750
7476406718426310,47641499361,71307845445
7476406768425132,47641531901,71323547823
7476406818885227,47641563253,71338052562
7476406868423117,47641594968,71353222656
7476406918445892,47641646422,71377441625
7476406968414250,47641694762,71400329790
7476407020142335,47641731984,71417895178
7476407068598611,47641751326,71426943990
7476407118408802,47641770450,71435992818
7476407168654481,47641794295,71447170844
7476407218422977,47641824940,71461808592
7476407268384922,47641844678,71470990507
7476407318405263,47641865201,71480704732
7476407368435051,47641880155,71487757495
7476407418430357,47641900092,71497205536
7476407471443253,47641934737,71513573316
7476407518439983,47641955933,71523553594
7476407568398943,47641976450,71533800061
7476407618416299,47642005929,71547506390
7476407668595757,47642037337,71562410357
7476407719595357,47642085305,71585165467
7476407768549563,47642122729,71602676757
7476407834118586,47642143795,71612312013
7476407868409227,47642148983,71615106442
7476407918428857,47642158066,71619231690
7476407968428882,47642183464,71631208033
7476408018489706,47642235898,71656092341
7476408068419513,47642273530,71674056895
7476408118434405,47642298270,71685634088
7476408168389287,47642326565,71699074243
7476408218530266,47642356425,71713179769
7476408268423848,47642361241,71715441976
7476408318431927,47642361241,71715441976
7476408368389304,47642361241,71715441976
7476408418438958,47642361241,71715441976
7476408468415310,47642361241,71715441976
7476408518416707,47642361241,71715441976
7476408569631946,47642361241,71715441976
7476408618421634,47642361241,71715441976
7476408668436395,47642361241,71715441976
7476408791591915,47642361241,71715441976
7476408811241614,47642361241,71715441976
7476408934081612,47642361241,71715441976
7476408935248510,47642361241,71715441976
7476409029818592,47642361241,71715441976
7476409035585948,47642361241,71715441976
7476409085360836,47642361241,71715441976
7476409135353007,47642361241,71715441976
7476409185500387,47642361241,71715441976
7476409235371128,47642361241,71715441976
7476409285361906,47642361241,71715441976
7476409335335893,47642361241,71715441976
7476409385363096,47642361241,71715441976
7476409436055140,47642361241,71715441976
7476409485448229,47642361241,71715441976
7476409535362608,47642361241,71715441976
7476409585346433,47642361241,71715441976
7476409635346658,47642361241,71715441976
7476409686656007,47642361241,71715441976
7476409735361363,47642361241,71715441976
7476409785371977,47642361241,71715441976
7476409835351424,47642361241,71715441976
7476409885362889,47642361241,71715441976
7476409935366650,47642361241,71715441976
7476409985352078,47642361241,71715441976
7476410035345550,47642361241,71715441976
7476410086266678,47642361241,71715441976
7476410135344828,47642361241,71715441976
7476410186045848,47642361241,71715441976
7476410235349705,47642361241,71715441976
7476410285894613,47642361241,71715441976
7476410335380018,47642361241,71715441976
7476410385345180,47642361241,71715441976
7476410435408779,47642361241,71715441976
7476410485352842,47642361241,71715441976
7476410535844955,47642361241,71715441976
7476410585357900,47642361241,71715441976
